,date,ticker,name,action,cik
301,1987-08-31,MMC,Marsh McLennan,added,0000062709
430,1986-12-31,SYY,Sysco,added,0000096021
309,1986-10-31,MDT,Medtronic,added,0001613103
245,1986-02-28,ITW,Illinois Tool Works,added,0000049826
363,1985-11-30,PH,Parker Hannifin,added,0000076334
153,1985-10-31,DOV,Dover Corporation,added,0000029905
445,1985-09-30,TJX,TJX Companies,added,0000109198
94,1985-07-31,CNP,CenterPoint Energy,added,0001130310
399,1985-05-31,RVTY,Revvity,added,0000031791
10,1985-04-30,APD,Air Products,added,0000002969
346,1985-04-30,NUE,Nucor,added,0000073309
55,1984-10-31,BALL,Ball Corporation,added,0000009389
224,1984-09-30,HAS,Hasbro,added,0000046080
386,1984-04-30,PHM,PulteGroup,added,0000822416
294,1984-02-29,LOW,Lowe's,added,0000060667
471,1983-11-30,VZ,Verizon,added,0000732712
117,1983-08-31,CAG,Conagra Brands,added,0000023217
38,1982-11-30,AAPL,Apple Inc.,added,0000320193
74,1982-10-31,BF.B,Brown–Forman,added,0000014693
417,1982-09-30,SNA,Snap-on,added,0000091440
421,1982-09-30,SWK,Stanley Black & Decker,added,0000093556
481,1982-08-31,WMT,Walmart,added,0000104169
479,1981-06-30,GWW,W. W. Grainger,added,0000277135
303,1981-06-30,MAS,Masco,added,0000062996
49,1981-03-31,ADP,Automatic Data Processing,added,0000008670
193,1980-12-31,FDX,FedEx,added,0001048911
358,1980-12-31,PCAR,Paccar,added,0000075362
27,1980-03-31,AIG,American International Group,added,0000005272
491,1979-10-01,WY,Weyerhaeuser,added,0000106535
443,1978-12-31,TXT,Textron,added,0000217346
249,1976-12-31,INTC,Intel,added,0000050863
436,1976-12-31,TGT,Target Corporation,added,0000027419
375,1976-07-01,AYE,Allegheny Energy,removed,
374,1976-07-01,BUD,Anheuser Busch,added,
375,1976-07-01,DIS,The Walt Disney Company,added,
374,1976-07-01,HNG,Houston Natural Gas,removed,
26,1976-06-30,AXP,American Express,added,0000004962
56,1976-06-30,BAC,Bank of America,added,0000070858
103,1976-06-30,CI,Cigna,added,0001739940
157,1976-06-30,DUK,Duke Energy,added,0001326160
337,1976-06-30,NEE,NextEra Energy,added,0000753308
322,1976-06-30,TAP,Molson Coors Beverage Company,added,0000024545
487,1976-06-30,WFC,Wells Fargo,added,0000072971
252,1976-03-31,IFF,International Flavors & Fragrances,added,0000051253
267,1975-06-30,JPM,JPMorgan Chase,added,0000019617
493,1975-03-31,WMB,Williams Companies,added,0000107263
237,1974-12-31,HPQ,HP Inc.,added,0000047217
216,1973-12-31,GPC,Genuine Parts Company,added,0000040987
265,1973-06-30,JNJ,Johnson & Johnson,added,0000200406
57,1972-09-30,BAX,Baxter International,added,0000010456
58,1972-09-30,BDX,Becton Dickinson,added,0000010795
